Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_medium_241013_183306_v9,gpu,19,3.722,0.787,0.208,0.195,0.0
Synthetic_medium_241013_183306_v10,spinnaker,9,2.342,0.995,0.22,0.197,0.0195
Synthetic_medium_241013_183306_v10,gpu,19,3.631,0.803,0.21,0.194,0.0
Synthetic_medium_241013_184145_v1,spinnaker,8,2.039,0.727,0.229,0.212,0.0005
Synthetic_medium_241013_184145_v1,gpu,19,3.881,0.806,0.225,0.206,0.0
Synthetic_medium_241013_184145_v2,spinnaker,9,2.143,0.785,0.229,0.201,0.0005
Synthetic_medium_241013_184145_v2,gpu,19,4.215,0.791,0.239,0.22,0.0
Synthetic_medium_241013_184145_v3,spinnaker,9,2.556,1.205,0.233,0.204,0.0295
Synthetic_medium_241013_184145_v3,gpu,19,3.967,0.793,0.228,0.211,0.0
Synthetic_medium_241013_184145_v4,spinnaker,9,2.285,0.845,0.228,0.208,0.007
Synthetic_medium_241013_184145_v4,gpu,19,4.094,0.801,0.243,0.216,0.0
Synthetic_medium_241013_184145_v5,spinnaker,9,2.191,0.792,0.238,0.209,0.0005
Synthetic_medium_241013_184145_v5,gpu,19,4.057,0.793,0.232,0.214,0.0
Synthetic_medium_241013_184145_v6,spinnaker,10,2.527,1.05,0.228,0.206,0.0185
Synthetic_medium_241013_184145_v6,gpu,19,3.865,0.773,0.225,0.205,0.0
Synthetic_medium_241013_184145_v7,spinnaker,9,2.766,1.328,0.231,0.208,0.0235
Synthetic_medium_241013_184145_v7,gpu,19,4.085,0.789,0.233,0.214,0.0
Synthetic_medium_241013_184145_v8,spinnaker,9,2.476,1.037,0.236,0.216,0.015
Synthetic_medium_241013_184145_v8,gpu,19,3.926,0.808,0.236,0.208,0.0
Synthetic_medium_241013_184145_v9,spinnaker,9,2.135,0.687,0.237,0.21,0.004
Synthetic_medium_241013_184145_v9,gpu,19,4.038,0.812,0.237,0.216,0.0
Synthetic_medium_241013_184145_v10,spinnaker,10,2.541,1.062,0.23,0.209,0.031
Synthetic_medium_241013_184145_v10,gpu,19,3.923,0.769,0.221,0.203,0.0
Synthetic_medium_241013_185025_v1,spinnaker,10,2.526,0.976,0.267,0.213,0.012
Synthetic_medium_241013_185025_v1,gpu,19,4.28,0.835,0.245,0.227,0.0
Synthetic_medium_241013_185025_v2,spinnaker,9,2.373,0.932,0.242,0.22,0.0025
Synthetic_medium_241013_185025_v2,gpu,19,4.232,0.826,0.247,0.223,0.0
Synthetic_medium_241013_185025_v3,spinnaker,10,2.816,1.233,0.239,0.221,0.012
Synthetic_medium_241013_185025_v3,gpu,19,4.209,0.819,0.24,0.218,0.0
Synthetic_medium_241013_185025_v4,spinnaker,9,2.348,0.883,0.24,0.224,0.0115
