Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_181748_v3,gpu,21,6.669,3.549,0.494,0.214,0.2735
Recording_mixed_241029_181748_v4,spinnaker,10,4.238,2.905,0.47,0.214,0.236
Recording_mixed_241029_181748_v4,gpu,21,5.914,2.807,0.468,0.215,0.2395
Recording_mixed_241029_181748_v5,spinnaker,9,3.75,2.461,0.469,0.214,0.1955
Recording_mixed_241029_181748_v5,gpu,21,6.784,3.752,0.468,0.214,0.2875
Recording_mixed_241029_181530_v1,spinnaker,9,3.032,1.972,0.405,0.188,0.2045
Recording_mixed_241029_181530_v1,gpu,20,5.431,2.68,0.407,0.188,0.268
Recording_mixed_241029_181530_v2,spinnaker,10,3.786,2.596,0.408,0.189,0.241
Recording_mixed_241029_181530_v2,gpu,19,6.864,4.231,0.407,0.187,0.303
Recording_mixed_241029_181530_v3,spinnaker,10,3.221,2.062,0.405,0.188,0.204
Recording_mixed_241029_181530_v3,gpu,19,5.919,3.293,0.406,0.188,0.298
Recording_mixed_241029_181530_v4,spinnaker,9,3.155,2.062,0.406,0.189,0.2045
Recording_mixed_241029_181530_v4,gpu,20,5.462,2.743,0.407,0.189,0.254
Recording_mixed_241029_181530_v5,spinnaker,9,3.17,2.073,0.407,0.189,0.203
Recording_mixed_241029_181530_v5,gpu,19,5.619,2.921,0.404,0.189,0.2675
Recording_mixed_241029_180408_v1,spinnaker,10,4.481,3.104,0.562,0.204,0.2295
Recording_mixed_241029_180408_v1,gpu,22,11.137,7.31,0.562,0.204,0.261
Recording_mixed_241029_180408_v2,spinnaker,10,4.514,3.128,0.561,0.204,0.2315
Recording_mixed_241029_180408_v2,gpu,20,6.159,3.047,0.563,0.203,0.2435
Recording_mixed_241029_180408_v3,spinnaker,10,4.508,3.158,0.563,0.203,0.23
Recording_mixed_241029_180408_v3,gpu,20,6.912,3.815,0.562,0.203,0.258
Recording_mixed_241029_180408_v4,spinnaker,10,4.729,3.405,0.562,0.204,0.2395
Recording_mixed_241029_180408_v4,gpu,21,7.24,4.136,0.563,0.204,0.263
Recording_mixed_241029_180408_v5,spinnaker,10,4.738,3.456,0.563,0.204,0.244
Recording_mixed_241029_180408_v5,gpu,21,12.334,9.307,0.562,0.204,0.28
Recording_mixed_241029_181425_v1,spinnaker,10,9.908,8.174,0.854,0.304,0.2565
Recording_mixed_241029_181425_v1,gpu,20,12.01,7.928,0.879,0.304,0.242
Recording_mixed_241029_181425_v2,spinnaker,10,9.996,8.155,0.853,0.304,0.2555
Recording_mixed_241029_181425_v2,gpu,20,12.274,8.105,0.694,0.305,0.239
Recording_mixed_241029_181425_v3,spinnaker,10,10.118,8.27,0.851,0.304,0.257
Recording_mixed_241029_181425_v3,gpu,20,11.841,7.46,0.694,0.305,0.2135
Recording_mixed_241029_181425_v4,spinnaker,10,9.775,7.967,0.879,0.304,0.2565
Recording_mixed_241029_181425_v4,gpu,20,11.892,7.581,0.694,0.305,0.2295
Recording_mixed_241029_181425_v5,spinnaker,10,10.195,8.401,0.718,0.305,0.258
Recording_mixed_241029_181425_v5,gpu,20,11.912,7.773,0.851,0.304,0.2355
Recording_mixed_241029_181312_v1,spinnaker,10,3.895,1.717,0.794,0.323,0.059
Recording_mixed_241029_181312_v1,gpu,19,6.309,1.403,0.829,0.323,0.064
Recording_mixed_241029_181312_v2,spinnaker,10,3.836,1.702,0.794,0.323,0.059
Recording_mixed_241029_181312_v2,gpu,19,6.282,1.419,0.845,0.323,0.054
Recording_mixed_241029_181312_v3,spinnaker,10,3.858,1.792,0.843,0.323,0.058
Recording_mixed_241029_181312_v3,gpu,19,6.383,1.492,0.795,0.323,0.0575
Recording_mixed_241029_181312_v4,spinnaker,10,3.766,1.685,0.83,0.323,0.0585
Recording_mixed_241029_181312_v4,gpu,19,6.376,1.462,0.844,0.323,0.0635
Recording_mixed_241029_181312_v5,spinnaker,10,4.066,1.978,0.795,0.324,0.058
